short_ticker,tipo,vencimiento
T4X4,cer,14/10/2024
T5X4,cer,13/12/2024
T2X5,cer,14/02/2025
TC25P,cer,27/04/2025
TX25,cer,9/11/2025
TX26,cer,9/11/2026
TX28,cer,9/11/2028
TZX25,cer,30/06/2025
TZX26,cer,30/06/2026
TZX27,cer,30/06/2027
TZXM5,cer,31/03/2025
TZXM7,cer,31/03/2027
TZXM6,cer,31/03/2026
TZX28,cer,30/06/2028
TZXD5,cer,15/12/2025
TZXD6,cer,15/12/2026
TZXD7,cer,15/12/2027
TZV25,lecap,13/09/2024
TV25,lecap,30/09/2024
S13S4,lecap,11/11/2024
S30S4,lecap,30/06/2025
S11N4,lecap,29/08/2025
S30J5,lecap,18/06/2025
S29G5,lecap,14/10/2024
S18J5,lecap,29/11/2024
S14O4,lecap,17/01/2025
S29N4,lecap,13/12/2024
S17E5,lecap,31/01/2025
S13D4,lecap,28/02/2025
S14F5,lecap,14/02/2025
S14M5,lecap,14/03/2025
S16A5,lecap,16/04/2025
S16Y5,lecap,16/05/2025
S12S5,lecap,12/09/2025
S31E5,lecap,31/03/2025
IRSA,accion,
CTIO,accion,
ALUA,accion,
TXAR,accion,
PAMP,accion,
CRES,accion,
